college,name
KV,Special Topics in Biophysics
LT,Foundations: Molecules to Populations
LT,"Digestion, Nutrition, & Metabolism"
LT,"Endocrine, Genitourinary, & Women's Health"
LT,Research Elective
LT,Self-Designed Study
LT,Special Topics
LT,"Innovation, Design, Engineering and Analysis Projects (Longitudinal)"
LT,Research
LT,Innovations in Problem Based Learning
LT,Introduction to Telemedicine
LT,Medical Spanish
LT,Computational Genomics
KV,Principles Bus Comm
KM,BUS Internship
LC,Independent Research
LC,Seminar
LC,Special Problems
LC,Thesis Research
KP,Construction Engineering
KP,Environmental Engineering
KP,Construction Cost Analysis
KP,Wood Structures
KP,Structural Analysis
KP,Special Topics
KV,CHBE Internship
KV,Individual Study Sophomores
KV,Individual Study for Juniors
KV,Undergraduate Research Abroad
KV,Individual Study for Seniors
KV,Graduate CHBE Internship
KV,Special Problems
KV,Research Seminar
KV,General Chemistry I
KV,General Chemistry II
KV,"Chemistry, Everyday Phenomena"
KV,Individual Study Freshman
KV,Elementary Organic Chemistry I
KV,Chemistry Internship
KV,Individual Study Sophomore
KV,Individual Study Junior
KV,Physical Chemistry I
KV,Individual Study Senior
KV,Special Topics in Chemistry
KV,Social Science Rdgs Chinese
KV,Readings in Chinese Lit
KY,Introduction to Public Health
KY,Human Sexuality
KY,Community Health Organizations
KY,Drug Use and Abuse
KY,Introduction to Epidemiology
KY,Special Projects
KY,Community Health Internship
KY,Special Topics
KY,MPH Applied Practice Experience
KY,MPH Integrative Learning Experience
KY,Thesis Research
KN,Independent Study
KN,Teaching Elementary Mathematics
KN,Capstone Project
KN,Methods of Educational Inquiry
KN,Field Study & Thesis Seminar
KN,Thesis Research
KS,CIC Intercampus Reg
KS,CIC Traveling Scholar
KV,American Race and Ethnicity in the Classical Tradition
KV,Topics Classic Arch & Civ
LT,Introduction to Clinical Practice (Longitudinal)
LT,Clinical Elective
LT,Family Medicine Clerkship
LT,Internal Medicine Clerkship
LT,Neurology Clerkship
LT,Psychiatry Clerkship
LT,Obstetrics & Gynecology Clerkship
LT,Pediatrics Clerkship
LT,Surgery Clerkship
LT,Family Medicine Continuity Clinic
LT,Clinical Research
LT,Translational Research
LT,Anesthesiology
LT,Dermatology
LT,Emergency Medicine
LT,Palliative Care
LT,Ambulatory Cardiology
LT,Adult Intensive Care
LT,Plastic and Reconstructive Surgery
LT,Otolaryngology - ENT
LT,Surgical Pathophysiology
LT,Developmental Pediatrics
LT,Physical Medicine and Rehabilitation
LT,Addiction Medicine
LT,Simulated Clinical Ultrasound
LT,Point of Care Ultrasound
LT,Diagnostic Radiology and Non-Cardiac Nuclear Medicine
LT,Vascular and Interventional Radiology
LT,Imaging in Critical Care
LT,Bariatric Surgery
LT,Hand Surgery
LT,Vascular Surgery
LT,Rural Surgery
LT,Colon and Rectal Surgery
LT,Pediatric Surgery
LT,Introduction to Urology
LT,Quality Improvement & Patient Safety
KV,Intro to Organizational Comm
KV,Intro to Health Communication
KV,Communication Internship
KV,Family Communication
KV,Visual Politics
KV,Honors Individual Study
KV,Honors Senior Thesis
KV,Health Comm Research Methods I
KV,Health Comm Research MethodsII
KV,Seminar Communication Theory
KV,Capstone Individual Study
KL,On-Campus Crop Sci Internship
KL,Off-Campus Crop Sci Internship
KL,Undergrad Honors Res or Thesis
KL,Chromosomes
KL,Adv Studies in Crop Sciences
KP,Intro Computing: Non-Tech
KP,Discrete Structures
KP,Undergraduate Open Seminar in Computer Science
KP,Database Systems
KP,Programming Languages & Compilers
KP,Senior Thesis
KP,Theory & Practice of Data Cleaning
KP,Statistical Data Management
KP,Advanced Data Analysis
KV,Creative Writing Tutorial
KV,Final Project
KV,Freshman Honors Tutorial
KV,Grimms' Fairy Tales - ACP
KV,Special Topics in Comp Lit II
KV,Special Studies
KR,Black Dances of Resistance
KV,Intro to Japanese Culture
KP,Electrical and Electronic Circuits
KP,Electrical and Electronic Circuits Lab
KP,Analog Signal Processing
KP,Analog Circuits & Systems
KP,Computer Systems & Programming
KP,Digital Signal Processing
KP,Digital Signal Processing Lab
KP,Probability with Engrg Applic
KP,Probability in Engineering Lab
KP,Fields and Waves I
KP,Power Ckts & Electromechanics
KP,Semiconductor Electronics
KP,Electronic Circuits
KP,Electronic Circuits Laboratory
KP,Individual Study in ECE
KP,Digital Communications Lab
KP,Senior Research Project
KV,Economics at Illinois
KV,Inter Macroeconomic Theory
KV,Game Theory
KV,Time Series Analysis in Econ
KV,Monetary Theory
KV,Macroeconomics for Business
KV,Collective Bargaining
KN,Undergraduate Open Seminar
KN,School & Community Experiences
KV,Intro to TESL Methodology
KV,Engl Grammar for ESL Teachers
KV,Principles of Language Testing
KV,Research in Special Topics
KP,Engineering Study Abroad
KP,Engineering Internship
KP,Engineering Practice
KP,Professional Practicum
KP,Capstone Project
KP,Honors Independent Study
KV,Introduction to Film
KV,Fairy Tales & Gender Formation
KV,Advanced Individual Study
KV,Ind Studies of Env. Topics
KN,Intro to Educational Leadershp
KN,Poli & Cultural Context of Ed
KN,"Diversity, Leadership & Policy"
KN,Critical Issues in Higher Ed
KN,Proseminar in EPOL
KN,General Field Research Seminar
KN,Special Field Research Seminar
KN,Methodology Research Seminar
KN,Thesis Seminar
KN,Historical & Social Barriers
KN,Technology & Educational Reform
KN,Politics of Education
KN,Advanced Graduate Seminar
KN,Learning and Human Development with Educational Technology
KN,Principles of Language Testing
KN,Technology and Educational Change
KN,Single Case Experimental Design
KN,Advanced Seminar in Educational Psychology
KN,Field Study and Thesis Seminar
KV,Earth's Physical Systems
KV,Geology of the National Parks
KV,"Water Planet, Water Crisis"
KV,Intro to GIS Systems
KV,ESE Capstone
KV,Introduction to Academic Writing
KV,Introduction to Business Writing
KV,Politics of the European Union
KV,Directed Ind Study
KR,Introduction to Fashion
KR,FAA Study Abroad
KM,Corporate Finance
KM,Financial Markets
KM,Personal Wealth Management
KM,Wealth Management
KM,Special Topics in Finance
KM,Individual Study and Research
KV,Elementary French I
KV,Elementary French II
KV,Theoretical Foundations of SLA
KL,Contemporary Nutrition
KL,Off Campus Internship
KL,On Campus Internship
KL,UG Research or Thesis
KL,Food Production and Service
KL,UG Honors Research or Thesis
KL,Advances in Foods & Nutrition
KL,Cur Topics in FS & Human Nutr
KL,Food Materials Science
KL,Graduate Internship Experience
KL,Advanced Special Problems
KS,Special Topics: Graduate School Exploration
KS,Graduate Domestic Study Away
KS,Graduate College Study Abroad
KV,Global Development&Environment
KV,The Digital Earth
KV,Geography & GIS Internship
KV,Foundations of CyberGIS & Geospatial Data Science
KV,Advanced Studies in Geography
KV,Planet Earth
KV,Individual Honors Study
KV,"Geol Field Methods, Western US"
KV,Special Topics in Geology
KV,Advanced Studies in Geology
KV,Beginning German I
KV,Beginning German II
KV,Intermediate German I
KV,Special Topics German Studies
KV,"Terrorism, Past and Present"
KV,Independent Reading
KW,DGS Study Abroad
KV,"Race, Gender & Power"
KV,Interrogating Masculinities
KL,Biology of Human Behavior
KL,Research Internship
KL,Advanced Practicum in HDFS
KL,Advanced Studies in HDFS
KL,Special Problems in HDFS
KV,Global History
KV,The Automobile
KV,Jewish History Since 1700
KV,Illinois History
KV,Internship in Public History
KV,Honors Independent Study
KV,Individual Research Project
KV,Reading Course
KV,Teaching of College History
KV,Language and Culture in India
KL,On-Campus Horticulture Internship
KL,Off-Campus Horticulture Internship
KL,Ug Honors Research or Thesis
KL,Growth and Dev of Hort Crops
KN,Instructional and Training System Design
KN,Learning Technologies
KN,Economics of Human Resources
KN,e-Learning Ecologies
KV,Special Topics Junior
KV,Special Advanced Topics
KV,Special Topics Senior
KV,Organismal & Evolutionary Biol
KV,Genomics and Human Health
KV,Undergraduate Research Experience
KV,Applied Bioinformatics
KV,Biology and Tech Innovation
KP,Applied Nonlinear Programming
KP,Financial Computing
KP,Algorithms for Data Analytics
KY,Experience in Interdisciplinary Health Research
KY,Special Project-Problems
LM,Writing Across Media
LM,Individual Study
LM,Research Practicum
LM,Thesis Research
LP,Introduction to Information Sciences
LP,Research Design for Information Sciences
LP,Special Topics in Information Studies
LP,Literature and Resources for Children
LP,Information Books and Resources for Youth
LP,Foundations of Information Processing
LP,Database Design and Prototyping
LP,Instructional Strategies and Techniques for Information Professionals
LP,"Libraries, Information and Society"
LP,Reference and Information Services
LP,Administration & Management of Libraries and Information Centers
LP,Introduction to Bibliographic Metadata
LP,Collection Development
LP,Adult Public Services
LP,Adult Popular Literature
LP,Information Consulting
LP,Technical Services Functions
LP,Rare Book and Special Collections Librarianship
LP,Archival Arrangement and Description
LP,Digital Preservation
LP,Advanced Problems in Information Sciences
LP,Practicum
LP,Independent Study
LP,CAS Project
LP,Information Sciences Practice
LP,Thesis Research
KV,Elementary Italian I
KV,Elementary Italian II
KV,Spec Topics Italian Studies
KV,Spec Topics in Italian
KV,Elementary Japanese I
KT,Introduction to Journalism
KT,Special Topics
KT,Master's Project
KY,Physical Activity and Health
KY,Soc & Psych of Phys Activity
KY,Exper in Kinesiology Research
KY,Exercise Instruction & Elderly
KY,Honors Thesis
KY,Clin Exper in Sports Medicine
KY,Independent Study
KV,Elementary Korean I
KV,Elementary Korean II
KR,Nature and American Culture
KR,Sustainable Design Principles
KR,Cultural Heritage
KR,Master's Project
KV,Internship Experience
KV,LAS Study Abroad
KV,LAS Advanced Seminar
KV,Senior Project
KV,Introduction to Latin America
KU,Undergraduate Open Seminar
KU,Thesis Research
KU,Field Placements
KU,Independent Study
KU,Seminars
KL,Introduction to Leadership Studies
LG,Government Regulation
LG,Collective Bargaining
LG,Economics of Human Resources
LG,Internship
LG,Individual Topics
LG,Thesis Seminar
KV,Intro to Language Science
KV,Cultural Experiences of the Muslim World
KV,Language History
KV,Elements of Phonology
KV,Intro to General Phonetics
KV,Tutorials in Non-Western Lang
KV,Special Topics in Linguistics
KV,Intro Latina/Latino Studies
KT,Introduction to Film
KT,Editing and Post-production for Cinema
KV,Algebra
KV,Trigonometry
KV,Preparation for Calculus
KV,Calculus
KV,Calculus II
KV,Calculus III
KV,Intro Differential Equations
KV,Intro to Differential Eq Plus
KV,Vector Calculus Supplement
KV,Probability with Engrg Applic
KV,Math/Actuarial Internship
KV,Applied Linear Algebra
KV,Abstract Linear Algebra
KV,Intro to Abstract Algebra
KV,Differential Equations
KV,Elementary Real Analysis
KV,Applied Complex Variables
KV,Real Variables
KV,Complex Variables
KV,Probability Theory
KV,Statistics and Probability I
KV,Statistics and Probability II
KV,Vector and Tensor Analysis
KV,Mathematical Internship
KM,Internship
KM,Special Projects
KM,Digital Marketing Analytics
KM,Global Business Horizons
KM,Fostering Creative Thinking
KM,Introduction to Business Analytics: Communicating with Data
KM,Data Toolkit: Business Data Modeling & Predictive Analytics
KM,Infonomics
KM,Specialization Capstone
KM,Program Capstone
KV,Molec & Cellular Basis of Life
KV,Internship
KV,Foundation in Mol & Cell Bio
KV,Human Anatomy & Physiology II
KV,Human Anat & Physiol Lab II
KV,Molecular Genetics
KV,"Cells, Tissues & Development"
KV,Undergraduate Research
KV,Genetics and Genomics
KV,Introductory Biochemistry
KP,Thermodynamics
KP,Introductory Independent Study
KP,Energy Conversion Systems
LD,Leadership and Management
KP,Engineering Materials
KP,Research Seminars
KR,Introd to the Art of Music
KR,Analysis of Musical Form
KR,Contemp Issues in Inst Mus Ed
KR,Healthy Music Practices
KR,Advanced Music Ed Technology
KR,Musicology and Pedagogy
KR,Sem in Wrks of Select Composer
KR,Res & Bibliography in Music
KR,Curricular Perspectives on Music Education
KR,Research in Music Education
KR,Topics in Music Education
KR,Capstone Project Synthesis
KR,Doctoral Projects
KV,Museum Internship
KV,Indiv Topics Neuroscience
KV,Proseminar in Psychology
KP,Nuclear Power Engineering
KP,Independent Lab Investigations
KL,Nature and American Culture
KL,Professional Internship
KL,Resident Internship
KL,Environmental Psychology
KL,Special Problems
KL,NRES Professional Orientation
LD,Evolution of Warfare
LD,Maneuver Warfare Fundamentals
KL,Disciplinary Seminar
KL,Individual Topics in Nutrition
LC,Undergraduate Research
LC,Vet Diagnostic Path 1
LC,Diagnostic Cytology
LC,Exotic/Wild Animal Diag Path 1
LC,Exotic/Wild Animal Diag Path 2
LC,Exotic/Wild Animal Path Sem
LC,Surgical Pathology
LC,Non-Thesis Research
KV,Elementary Persian I
KV,Elementary Persian II
KV,Intermediate Persian I
KV,Intermediate Persian II
KV,Advanced Persian I
KV,Advanced Persian II
KV,Thesis
KV,Directed Research
KP,College Physics: Mech & Heat
KP,College Physics: E&M & Modern
KP,University Physics: Mechanics
KP,University Physics: Elec & Mag
KP,Univ Physics: Thermal Physics
KP,Univ Physics: Quantum Physics
KP,Modern Experimental Physics
KV,Special Topics Port & Braz Lit
KV,Intro to Political Science
KV,Intro to Intl Relations
KV,The US Supreme Court
KV,Research in Selected Topics
KV,Preparing Future Faculty
KS,Special Topics-Sci & Business
KS,PSM Internship
KV,Cognitive Psych
KV,Research Experience in Psych
KV,Topics in Clin/Comm Psych
KV,Developmental Child Psych Lab
KV,Intermediate Current Topics in Psychology
KV,Environmental Psychology
KV,Advanced Research in Psych
KV,Individual Research
KV,Individual Study or Research
KY,Undergraduate Open Seminar
KY,Special Problems
KV,Archaeology and the Bible
KV,Writing and Research
KY,Foundations of Sport Mgt
KY,Internship
KY,"Managing Recreation, Sport & Tourism Organizations"
KY,Marketing in RST
KY,Finance & Budgeting in RST
KY,Event Management
KY,Strategic Management in RST
KY,Critical Issues Sport Mgt
KY,Management Internship
KY,Special Topics in Leisure
KV,Readings in Russian
KT,Messaging Strategy
KT,Strategic Media Management
KV,Special Topics in Scan Studies
KY,Freshmen Seminar
KY,Research Lab Experience in SHS
KY,Individual Study
KY,Honors Individual Study
KY,Beginning Practicum in SHS
KY,Motor Speech Disorders
KY,Adv Clin Prac Aud Assess Rehab
KY,School Spch-Lang Clin Methods
KY,Advanced Practicum in SHS
KY,Prof/Eth/Legal Issues AuD/SLP
KY,Cochlear Implants
KY,PhD Early Research Project
KV,Introduction to Poverty
KV,Criminology
KV,Sociology of Deviance
KV,Internships
KV,Advanced Independent Study
KV,Individual Topics in Sociology
KV,Readings in Sociology
KV,Thesis Proposal
LL,Undergraduate Open Seminar
LL,Generalist SW Practice Methods
LL,Social Welfare Pol and Svcs
LL,Independent Study
LL,Intl SW & Development
LL,HBSE I: Human Development
LL,Field Practicum & Professional Seminar II
LL,SW Practice with Groups
LL,Brief Motivational Interventions for Substance Use
LL,Behav and Cogn Methods for SW
LL,Managing Human Service Orgs
LL,Field Practicum and Integrative Seminar I
LL,Field Practicum III
LL,Special Studies in Soc Work I
LL,Special Studies in Soc Work II
LL,Individual Research
LL,Dissertation Research
KV,Elementary Spanish I
KV,Elementary Spanish II
KV,Intensive Elementary Spanish
KV,Introduction to Spanish Grammar
KV,Spanish for Business
KV,Spanish Composition
KV,Introduction to Hispanic Linguistics
KV,The Structure of Spanish
KV,Bilingualism
KV,Advanced Readings in Spanish
KV,Topics for Honors Students
KV,Special Topics in Spanish
KN,Thesis
KN,New Media &Learner Differences
KN,Collaborating with Families
KN,Ethics and Professional Behavior
KN,Disability Issues in Special Education
KN,Seminar for Advanced Students
KV,Statistics
KV,Statistical Analysis
KV,Statistical Data Management
KV,Advanced Data Analysis
KV,STAT Internship
KP,Introductory Dynamics
KP,Introductory Solid Mechanics
KP,Introductory Fluid Mechanics
KP,Advanced Independent Study
KP,Special Topics II
KP,Technol Innovation & Strategy
KP,Finance for Engineering Mgmt
KP,Venture Funded Startups
KR,Broadway Musicals
KR,Individual Topics
KR,Special Problems
KR,Creative Project
KV,Elementary Turkish I
KV,Elementary Turkish II
KV,Intermediate Turkish I
KV,Intermediate Turkish II
KV,Advanced Turkish I
KV,Advanced Turkish II
KV,Special Topics in Turkish
KR,Urban Sustainability
KR,"Race, Social Justice, and Cities"
KR,GIS for Planners
KR,Urban Planning Research
LC,Infectious Disease in Livestock Systems
LC,Adv Topics Vet Clin Med
LC,Manuscript Research
LC,Clinical/Laboratory Practice
LC,Clinical Practice IV
KV,Writing Across Media
KL,Companion Animal Biology &Care
KV,Race and Cultural Diversity
KM,Atg Institutions and Reg
KM,"Accounting Measurement, Reporting, and Control"
KM,Accounting Analysis I
KL,Agr Cons and Resource Econ
KL,Commodity Price Analysis
KV,Lang Diff Dis: American Persp
KV,African Amer Families in Film
KL,Communications Internship
KL,Intro to Leadership Studies
KL,Special Topics in Ag Education
KV,Introduction to Anthropology
KV,"Food, Culture, and Society"
KR,Architecture as a Second Language
KR,Arch Design and the Landscape
KR,Arch Design and the City
KR,Design: Detail and Architectonics
KR,Spec Prob Arch Hist & Pres
KR,Digital Art and Sustainability
KR,Visual Culture of Fandoms
KV,Field Studies of Convection
KM,Introduction to Business
KM,Marketing Management
KM,Process Management
KM,Stat for Mgt Decision Making
LT,Foundational Elements
LT,Digestion
LT,Nutrition & Metabolism
LT,Endocrinology
LT,Global Studies/Service Learning Elective
KM,Business Study Abroad
KV,General Chemistry Lab I
KV,General Chemistry Lab II
KV,Elementary Organic Chem Lab I
KV,Elementary Organic Chem II
KN,Bilingual and English as a Second Language Assessment
KV,Senior Survey
KV,Public Speaking
KL,Agriculture in Mythology
KL,"Agriculture, Food, and the Environment"
KP,User Interface Design
KV,Honors Tutorial
KP,IC Device Theory & Fabrication
KV,Macroeconomic Policy
KV,Topics in Economics
KN,Education Abroad
KP,Seminar Energy & Sustain Engrg
KV,Intro to Film
KV,Intro to Fiction-ACP
KV,Masters Exam Tutorial
KV,Prof Seminar College Tchg
KV,Sustainability Experience
KN,Supervision of Learning Envir
KN,Internship in Higher Ed
KN,Race and Cultural Diversity
KN,Aesthetic Education
KN,New Learning
KN,Topics in Educational Policy
KN,"Knowledge, Learning & Pedagogy"
KN,Learning & Hum Dev w/ EdTech
KN,Analysis of Educational Tech
KN,Advanced Seminar in Educ Psyc
KV,English Pronunciation for ITAs
KV,Oral Communication for ITAs
KV,Seminar for Intl TAs
KV,Written and Oral Business Communication
KM,Investments
KV,Intermediate French I
KV,Intermediate French II
KL,Undergraduate Seminar
KL,Advanced Topics in Food Science and Human Nutrition
KV,Freshman Honors Seminar
KV,Intermediate German II
KV,"Film, TV, and Gender"
KL,African Amer Families in Film
KL,Horticultural Physiology
KN,Supervised Internship in HRE
KV,Introductory Research
KV,Human Genome & Bioinformatics
KP,Design & Anlys of Experiments
KP,Convex Optimization
LP,Storytelling
LP,Introduction to Network Information Systems
LP,Advanced Topics in Information Studies
LP,Information Needs of Particular Communities
LP,Metadata in Theory & Practice
KV,Readings in Japanese Lit
KR,Design Workshop Studio I
KR,Design Workshop Studio II
KV,Elements of Syntax
KV,Bilingual and English as a Second Language Assessment
KT,Intro to Film
KT,"Film, TV, and Gender"
KV,Fundamental Mathematics
KV,Human Anatomy & Physiology I
KV,Human Anat & Physiol Lab I
KT,Advanced Media Sales
KP,Materials Laboratory I
KP,Materials Laboratory II
KR,Summer Band
KR,Assessment and Evaluation in Music Education
KR,Popular Music Pedagogy
KR,Teaching Young Singers
KR,Advanced Ensemble Music
KR,Proseminar in Music
KR,Special Topics Seminar
KR,Music Education Thesis
KL,Forest Biology
KL,Capstone Group Research Project
KL,Experimental Graduate Courses
KV,Logic and Reasoning
KV,Logic and Reasoning QR II
KY,Counseling Internship
KY,Rehabilitation Practicum
KY,Practicum
KY,"Concepts & Applications in Recreation, Sport & Tourism"
KY,Adv Leisure Research Methods
KY,Lang Diff Dis: American Persp
KY,Prepracticum in SHS
KV,Advanced Spanish Grammar in Context
KN,Foundations of Assessment
KN,Disability Issues in SPED
KR,Intro African American Theat
KP,Nonlinear Continuous Media
KV,Dancing Black Popular Culture
KV,Topics Swahili Lang & Lit I
KV,Topics Swahili Lang & Lit II
KR,Architecture as a 2nd Language
KR,Arch Design & Exploration
KR,Design: Technology and Performance
KR,Spec Prob Arch Practice & Mgt
KM,Business Process Management
LT,Orientation
LT,Population Health
KN,Tchg Elementary Mathematics
KN,Sem for Adv Stu of Education
KV,Health Informatics
KL,Organic Chem of Biol Processes
KL,Research Methods in Plant Sci
KV,Russ & E Euro Science Fiction
KR,Dancing Black Popular Culture
KP,Elec & Electronic Circuits
KP,Elec & Electronic Circuits Lab
KV,Health Economics
KP,Energy Systems Practicum
KP,Energy Systems Project
KN,Leading Learning-Centrd Schls
KN,Foundation of Higher Edu
KN,Advanced Seminar
KN,Ubiquitous Learning
KN,Adult Learning and Development
KN,Single Case Experimntl Design
KL,Intro Food Science & Nutrition
KV,Geography Field Course
KV,20thC World to Midcentury
KV,Nature and American Culture
KV,Revivalism and Evangelicalism
KN,Advanced Theories in HRD
KP,Analysis of Data
LP,School Library Media Center
LP,"Race, Gender, and Sexuality in the Information Professions"
KV,Elementary Japanese II
KY,Individual and Dual Activities
KY,Contemporary Issues in Sport
KV,Native Latin Amer Languages
KV,Intro to Linguistic Structure
KT,Advanced Media/Cinema Topics
KV,Finite Mathematics
KV,Calculus for Business I
KT,Media Sales Management
KR,Music Interdisciplinary Curriculum
KR,Songwriting
KL,Graduate Seminar
KL,Capstone Group Res Project
KV,Ethics
KP,Relativity & Math Applications
KV,Undergraduate Research Practicum
KV,UG Research Assistance
KV,Psych and Law
KV,Technology and Society
LL,Cities and Immigrants
KN,Ethics & Prof. Behavior
KN,Supervised Prac in SPED
KV,Statistics Programming Methods
KP,"Creativity, Innovation, Vision"
KP,"Startups: Inc, Fund, Contracts, IP"
KR,Undergraduate Project
KR,International Planning Studio
KY,RST in Modern Society
KM,Principles of Taxation
KM,Practical Problems in Atg
KM,Assurance and Attestation
KM,"Atg Measuremnt, Rpting & Cntrl"
KM,Multistate Taxation
KM,Corporate Income Taxation
KM,Tax Research
KM,Tax Policy
KM,Tax Procedures
KV,Intermediate Wolof I
KV,Intermediate Wolof II
KT,Communications Internship
KT,Research Internship
KT,Independent Study or Research
KT,Honors Research or Thesis
KV,Seminar in Anthropology
KR,Theory of Reinforced Concrete
KR,Design:Detail & Architectonics
KP,Bioinstrumentation Project
KV,Unit Operations Laboratory
KV,Biochemical Engineering
KV,Elementary Chinese I
KV,Elementary Chinese II
KY,Tomorrow's Environment
KY,MPH Practicum
